text,label
bought raw material 5000,purchase
paid electricity bill 2000,expense
sold 10 shirts 6000,sales
purchased cotton 4000,purchase
received payment 5000,income
paid salary 12000,expense
sold finished goods 15000,sales
bought office supplies 1000,purchase
paid rent 5000,expense
sold laptops 20000,sales
purchased inventory 8000,purchase
received dividend 3000,income
paid taxes 4000,expense
sold services 7000,sales
bought equipment 15000,purchase
received interest 2000,income
paid utilities 3000,expense
sold products 12000,sales
